# wavelength, intensity
4.679739012987013211e+02 2.958335115529850441e+02
4.685889857142857409e+02 2.967077496682654782e+02
4.692040701298701606e+02 2.959702283258839088e+02
4.698191545454545803e+02 2.970452130194049118e+02
4.704342389610390001e+02 2.958808942548942582e+02
4.710493233766234198e+02 2.977964150253122853e+02
4.716644077922078395e+02 2.972121817030011925e+02
4.722794922077922593e+02 2.980004307819247060e+02
4.728945766233766221e+02 2.989983659003469256e+02
4.735096610389610419e+02 2.992563661826877137e+02
4.741247454545454616e+02 3.000438773175678762e+02
4.747398298701298813e+02 2.997178876233884353e+02
4.753549142857143011e+02 2.999320253121679798e+02
4.759699987012987208e+02 2.992891678220450444e+02
4.765850831168831405e+02 3.003868009885475772e+02
4.772001675324675602e+02 2.995350608910313781e+02
4.778152519480519800e+02 3.017581270213162838e+02
4.784303363636363997e+02 3.014407365949071504e+02
4.790454207792207626e+02 3.014567136068709488e+02
4.796605051948051823e+02 3.007880014043669235e+02
4.802755896103896021e+02 3.025539724772219188e+02
4.808906740259740218e+02 3.024688096769007188e+02
4.815057584415584415e+02 3.035510920634354193e+02
4.821208428571428612e+02 3.041074228163840303e+02
4.827359272727272810e+02 3.042551151509377405e+02
4.833510116883117007e+02 3.048542610124905536e+02
4.839660961038961204e+02 3.045244651756588041e+02
4.845811805194805402e+02 3.053088181561731176e+02
4.851962649350649599e+02 3.065950021951782105e+02
4.858113493506493796e+02 3.074169837158041219e+02
4.864264337662337994e+02 3.078257710698156870e+02
4.870415181818182191e+02 3.094203521456948351e+02
4.876566025974026388e+02 3.095028961822162046e+02
4.882716870129870586e+02 3.112907957789295210e+02
4.888867714285714783e+02 3.092739372452153930e+02
4.895018558441558412e+02 3.110971826740798178e+02
4.901169402597402609e+02 3.106222704097135079e+02
4.907320246753246806e+02 3.116731645169660965e+02
4.913471090909091004e+02 3.120300023436265633e+02
4.919621935064935201e+02 3.134248657865562677e+02
4.925772779220779398e+02 3.120304978657336505e+02
4.931923623376623596e+02 3.144232548727167682e+02
4.938074467532467793e+02 3.137058461817786110e+02
4.944225311688311990e+02 3.164677994749665686e+02
4.950376155844156187e+02 3.165484425896353287e+02
4.956526999999999816e+02 3.169215328341024360e+02
4.962677844155844014e+02 3.180290687540991712e+02
4.968828688311688211e+02 3.188933201443457506e+02
4.974979532467532408e+02 3.185079890507735740e+02
4.981130376623376605e+02 3.204332329580113878e+02
4.987281220779220803e+02 3.219565299879201348e+02
4.993432064935065000e+02 3.207740320461994656e+02
4.999582909090909197e+02 3.235789034991047401e+02
5.005733753246753395e+02 3.224908855442130289e+02
5.011884597402597592e+02 3.238759037355106329e+02
5.018035441558441789e+02 3.234012722459925158e+02
5.024186285714285987e+02 3.250217767729517959e+02
5.030337129870130184e+02 3.237274539799372519e+02
5.036487974025974381e+02 3.224331311869226511e+02
5.042638818181818579e+02 3.224936180524487099e+02
5.048789662337662776e+02 3.239173371324177992e+02
5.054940506493506973e+02 3.257767778230490308e+02
5.061091350649350602e+02 3.263165580669273140e+02
5.067242194805194799e+02 3.269457856894076713e+02
5.073393038961038997e+02 3.271351712370727682e+02
5.079543883116883194e+02 3.312460003914987396e+02
5.085694727272727391e+02 3.306243475533865421e+02
5.091845571428571589e+02 3.332647977881067050e+02
5.097996415584415786e+02 3.329817559798234470e+02
5.104147259740259983e+02 3.343544498671421366e+02
5.110298103896104180e+02 3.356104360349379476e+02
5.116448948051948378e+02 3.360713897879833780e+02
5.122599792207792007e+02 3.371867549358516385e+02
5.128750636363636204e+02 3.391947978213516990e+02
5.134901480519480401e+02 3.388361488841515552e+02
5.141052324675324599e+02 3.424115934941679598e+02
5.147203168831168796e+02 3.423036052009467767e+02
5.153354012987012993e+02 3.427805191048227016e+02
5.159504857142857190e+02 3.455670329890035646e+02
5.165655701298701388e+02 3.461538486438595328e+02
5.171806545454545585e+02 3.479616136198616232e+02
5.177957389610389782e+02 3.489071255400535279e+02
5.184108233766233980e+02 3.514382631501951550e+02
5.190259077922078177e+02 3.507309505631561137e+02
5.196409922077922374e+02 3.533499194541074644e+02
5.202560766233766572e+02 3.554679290690086191e+02
5.208711610389610769e+02 3.558913677059525753e+02
5.214862454545454966e+02 3.573570607330025837e+02
5.221013298701299163e+02 3.606644037614269678e+02
5.227164142857143361e+02 3.610922740353668132e+02
5.233314987012987558e+02 3.650912181394007803e+02
5.239465831168831755e+02 3.655995236872960277e+02
5.245616675324674816e+02 3.682997206162984867e+02
5.251767519480520150e+02 3.696707160504553258e+02
5.257918363636363210e+02 3.719436571312597835e+02
5.264069207792207408e+02 3.740780079506568541e+02
5.270220051948051605e+02 3.790196176001593926e+02
5.276370896103895802e+02 3.788610940164147109e+02
5.282521740259740000e+02 3.828249526874640765e+02
5.288672584415584197e+02 3.843634365364520704e+02
5.294823428571428394e+02 3.862322827014295967e+02
5.300974272727272592e+02 3.889651836328303602e+02
5.307125116883116789e+02 3.896451934228529694e+02
5.313275961038960986e+02 3.922237482244318585e+02
5.319426805194805183e+02 3.937999888239654638e+02
5.325577649350649381e+02 3.963565867380487475e+02
5.331728493506493578e+02 3.944031122270642413e+02
5.337879337662337775e+02 3.980106754665014250e+02
5.344030181818181973e+02 3.959256521332742977e+02
5.350181025974026170e+02 3.975465577238912260e+02
5.356331870129870367e+02 3.978390129664800270e+02
5.362482714285714565e+02 4.003630302345358700e+02
5.368633558441558762e+02 4.008595701336365664e+02
5.374784402597402959e+02 4.027742566637464279e+02
5.380935246753247156e+02 4.039858872728993333e+02
5.387086090909091354e+02 4.090922364348290898e+02
5.393236935064935551e+02 4.103098167518515993e+02
5.399387779220778611e+02 4.110596649178679627e+02
5.405538623376623946e+02 4.138057258061817834e+02
5.411689467532467006e+02 4.149549547925212778e+02
5.417840311688312340e+02 4.160955757622626265e+02
5.423991155844155401e+02 4.190730192576895661e+02
5.430142000000000735e+02 4.214481289118783707e+02
5.436292844155843795e+02 4.244521213085618001e+02
5.442443688311687993e+02 4.261633468542834748e+02
5.448594532467532190e+02 4.272366036660987447e+02
5.454745376623376387e+02 4.301777901724733510e+02
5.460896220779220585e+02 4.321765898434896371e+02
5.467047064935064782e+02 4.348683375223627081e+02
5.473197909090908979e+02 4.372077397166425499e+02
5.479348753246753176e+02 4.415177753529922597e+02
5.485499597402597374e+02 4.411642510513241291e+02
5.491650441558441571e+02 4.445644717800510648e+02
5.497801285714285768e+02 4.457060088440612162e+02
5.503952129870129966e+02 4.488734033300676742e+02
5.510102974025974163e+02 4.513558904901255460e+02
5.516253818181818360e+02 4.574231569887968476e+02
5.522404662337662558e+02 4.586529462286522403e+02
5.528555506493506755e+02 4.637389885341252125e+02
5.534706350649350952e+02 4.657834182571576775e+02
5.540857194805195149e+02 4.721094185576693008e+02
5.547008038961039347e+02 4.787544094300677102e+02
5.553158883116883544e+02 4.798517993273260913e+02
5.559309727272727741e+02 4.815931166268716765e+02
5.565460571428570802e+02 4.841565584015904733e+02
5.571611415584416136e+02 4.885731657681064917e+02
5.577762259740259196e+02 4.918373816385330883e+02
5.583913103896104531e+02 4.979449153363187293e+02
5.590063948051947591e+02 5.024288468184641943e+02
5.596214792207792925e+02 5.051531614548018183e+02
5.602365636363635986e+02 5.097442237747284253e+02
5.608516480519480183e+02 5.148237630966732468e+02
5.614667324675324380e+02 5.156486766956188603e+02
