# wavelength, intensity
4.776102480519480764e+02 2.214973194617350302e-02
4.781224470529470523e+02 2.294379977030035558e-02
4.786346460539460850e+02 2.381256829606059541e-02
4.791468450549450608e+02 2.438431204288044052e-02
4.796590440559440935e+02 2.464982549743028814e-02
4.801712430569430694e+02 2.603969863982250749e-02
4.806834420579421021e+02 2.586584895637950368e-02
4.811956410589410780e+02 2.759279727806427870e-02
4.817078400599400538e+02 2.766236547555393083e-02
4.822200390609390865e+02 2.804933560086349253e-02
4.827322380619380624e+02 2.869718792193844126e-02
4.832444370629370951e+02 2.953695667398404529e-02
4.837566360639360710e+02 3.045987352319962094e-02
4.842688350649351037e+02 3.111255060839035469e-02
4.847810340659340795e+02 3.197913340336674265e-02
4.852932330669331122e+02 3.286171825682273478e-02
4.858054320679320881e+02 3.347277913486693124e-02
4.863176310689310640e+02 3.404493449290438289e-02
4.868298300699300967e+02 3.368934404710858393e-02
4.873420290709290725e+02 3.511343903564550367e-02
4.878542280719281052e+02 3.610522390368649248e-02
4.883664270729270811e+02 3.702691269519592376e-02
4.888786260739261138e+02 3.728102289674669473e-02
4.893908250749250897e+02 3.881945748209243013e-02
4.899030240759241224e+02 3.878304297426225095e-02
4.904152230769230982e+02 3.935692084133723262e-02
4.909274220779220741e+02 4.019616756029860405e-02
4.914396210789211068e+02 4.097258489124003256e-02
4.919518200799200827e+02 4.203909212061303358e-02
4.924640190809191154e+02 4.275984283446225553e-02
4.929762180819180912e+02 4.321034489952652047e-02
4.934884170829171239e+02 4.495268495651037061e-02
4.940006160839160998e+02 4.652897462693820346e-02
4.945128150849151325e+02 4.728312517419052535e-02
4.950250140859141084e+02 4.748845543512924400e-02
4.955372130869130842e+02 4.861411781824236805e-02
4.960494120879121169e+02 5.016667281090810004e-02
4.965616110889110928e+02 5.069114301116653398e-02
4.970738100899101255e+02 5.215026254485056328e-02
4.975860090909091014e+02 5.355688700976464489e-02
4.980982080919081341e+02 5.419555604533830145e-02
4.986104070929071099e+02 5.536922271327916756e-02
4.991226060939061426e+02 5.713826406905303523e-02
4.996348050949051185e+02 5.873177522145003188e-02
5.001470040959040944e+02 5.948858837930138393e-02
5.006592030969031271e+02 6.034098203134565658e-02
5.011714020979021029e+02 6.223165748817600929e-02
5.016836010989011356e+02 6.300606486190732380e-02
5.021958000999001115e+02 6.413658944955345775e-02
5.027079991008991442e+02 6.490159228622138787e-02
5.032201981018981201e+02 6.610279937300919673e-02
5.037323971028971528e+02 6.690172732369221997e-02
5.042445961038961286e+02 6.755428336415902901e-02
5.047567951048951045e+02 6.807850161806078271e-02
5.052689941058941372e+02 6.900275227231772446e-02
5.057811931068931131e+02 6.929676877772233956e-02
5.062933921078921458e+02 6.978192944672657883e-02
5.068055911088911216e+02 6.993920870003955681e-02
5.073177901098900975e+02 7.112049420801720701e-02
5.078299891108891302e+02 7.240829666380639573e-02
5.083421881118881629e+02 7.290694383078238916e-02
5.088543871128871388e+02 7.418837117845282492e-02
5.093665861138861146e+02 7.418394856882913613e-02
5.098787851148851473e+02 7.549250758154203711e-02
5.103909841158841232e+02 7.579367151735943997e-02
5.109031831168831559e+02 7.643277434349342314e-02
5.114153821178821318e+02 7.679719401782636456e-02
5.119275811188811076e+02 7.781898237538498186e-02
5.124397801198801972e+02 7.765856292457050392e-02
5.129519791208791730e+02 7.763713985220717373e-02
5.134641781218781489e+02 7.840657806431448884e-02
5.139763771228771247e+02 7.914436187920059762e-02
5.144885761238761006e+02 7.991078580597194003e-02
5.150007751248751902e+02 8.067468238294411842e-02
5.155129741258741660e+02 8.142162744133618624e-02
5.160251731268731419e+02 8.136593138041535445e-02
5.165373721278721177e+02 8.298432518647468059e-02
5.170495711288710936e+02 8.460939439207423862e-02
5.175617701298701832e+02 8.558099054613632628e-02
5.180739691308691590e+02 8.745970301110662926e-02
5.185861681318681349e+02 8.811357939532137029e-02
5.190983671328671107e+02 9.029509930914718374e-02
5.196105661338662003e+02 9.152409955460197311e-02
5.201227651348651762e+02 9.233189949018849596e-02
5.206349641358641520e+02 9.468110213194130820e-02
5.211471631368631279e+02 9.603194607906530289e-02
5.216593621378622174e+02 9.719978906712350986e-02
